order_id,customer_id,order_date,product,category,quantity,unit_price,currency,expected_amount,payment_reference,order_status
ORD-1023,CUST-123,2026-06-12,Laptop Stand,Office,5,55.0,EUR,275.0,pi_1023,Paid
ORD-1026,CUST-126,2026-06-25,Desk Lamp,Office,1,45.0,EUR,45.0,pi_1026,PAID
ORD-1035,CUST-135,2026-01-13,Noise Cancelling Headphones,Electronics,2,199.0,EUR,398.0,pi_1035,Paid
ORD-1016,CUST-116,2026-06-08,Notebook Pack,Stationery,5,12.0,EUR,60.0,pi_1016,PAID
ORD-1089,CUST-189,2026-06-28,Wireless Charger,Electronics,1,49.0,EUR,49.0,pi_1089,CANCELLED
ORD-1024,CUST-124,2026-03-04,Laptop Stand,Office,4,55.0,EUR,220.0,pi_1024,paid
ORD-1066,CUST-166,2026-15-06,HDMI Cable,Electronics,1,15.0,EUR,15.0,pi_1066,PAID
ORD-1050,CUST-150,2026-05-26,USB-C Dock,Electronics,1,89.9,EUR,89.9,pi_1050,Paid
ORD-1082,CUST-182,32-06-2026,Mouse Pad,Office,1,20.0,EUR,,pi_1082,PAID
,CUST-177,2026-03-13,Portable SSD,Electronics,1,89.0,EUR,89.0,pi_1077,PAID
ORD-1040,CUST-140,2026-05-18,Desk Organizer,Stationery,3,28.0,EUR,84.0,pi_1040,Paid
ORD-1042,CUST-142,2026-02-10,Portable SSD,Electronics,1,89.0,EUR,89.0,pi_1042,Paid
ORD-1049,CUST-149,2026-03-20,External Monitor,Electronics,1,300.0,EUR,300.0,pi_1049,PAID
ORD-1038,CUST-138,2026-04-30,Desk Shelf,Office,3,75.0,EUR,225.0,pi_1038,Paid
ORD-1061,CUST-161,2026-32-01,USB Hub,Electronics,1,45.0,EUR,45.0,pi_1061,PAID
ORD-1067,CUST-167,2026-13-99,Monitor Arm,Office,2,89.0,EUR,178.0,pi_1067,PAID
ORD-1007,CUST-107,2026-06-16,Cable Management Box,Office,5,32.0,EUR,160.0,pi_1007,paid
ORD-1064,CUST-164,2026-32-01,Wireless Mouse,Electronics,3,39.9,EUR,119.7,pi_1064,PAID
ORD-1043,CUST-143,2026-03-09,Desk Shelf,Office,2,75.0,EUR,150.0,pi_1043,Paid
ORD-1078,CUST-178,32-06-2026,External Monitor,Electronics,1,300.0,EUR,,pi_1078,PAID
ORD-1052,CUST-152,2026-02-02,Monitor Arm,Office,4,89.0,EUR,356.0,pi_1052,Paid
ORD-1030,CUST-130,2026-06-14,Portable SSD,Electronics,2,89.0,EUR,178.0,pi_1030,paid
ORD-1025,CUST-125,2026-03-11,USB Hub,Electronics,5,45.0,EUR,225.0,pi_1025,PAID
,CUST-176,2026-04-19,Laptop Stand,Office,1,55.0,EUR,55.0,pi_1076,PAID
ORD-1053,CUST-153,2026-02-12,Premium Webcam,Electronics,5,95.0,EUR,475.0,pi_1053,Paid
ORD-1031,CUST-131,2026-02-05,External Monitor,Electronics,5,300.0,EUR,1500.0,pi_1031,Paid
ORD-1062,CUST-162,2026-15-06,Standing Desk Mat,Office,2,35.0,EUR,70.0,pi_1062,PAID
ORD-1012,CUST-112,2026-01-24,Cable Organizer,Office,1,18.0,EUR,18.0,pi_1012,paid
ORD-1027,CUST-127,2026-01-09,Desk Lamp,Office,4,45.0,EUR,180.0,pi_1027,paid
